Sexo,Edad,Grupo etario,Municipio,Región,Colonia/Localidad,Migrante,Fecha de desaparición,Día de la semana,Horario,Estatus,Fecha de localización,Días sin localizar,Rango desaparición,Reincidencia,Número de reincidencia,Desaparición múltiple,Persona con quién desapareció,Hipótesis,Fuente,Sistematizó,,
Mujer,16,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,2/1/2019,Martes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Hombre,12,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,No especificado,No,7/1/2019,Lunes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,12,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,7/1/2019,Lunes,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,14,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,No especificado,No,8/1/2019,Martes,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Tapachula, Chiapas ",Soconusco,No especificado,No,8/1/2019,Martes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Hombre,2,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,11/1/2019,Viernes,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,13,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,No especificado,No,17/1/2019,Jueves,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,Alerta Amber Chiapas ,José Encinos Melel Xojobal,,
Hombre,13,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,No especificado,No,21/1/2019,Lunes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,13,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,21/1/2019,Lunes,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,Alerta Amber Chiapas ,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,24/1/2019,Jueves,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,16,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,25/1/2019,Viernes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,13,12 a 17,"Ixtacomitán, Chiapas ",Norte,No especificado,No,25/1/2019,Viernes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Hombre,7,6 a 11,"San Cristóbal de Las Casas, Chiapas ",Altos,No especificado,No,29/1/2019,Martes,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,12,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,No especificado,No,30/1/2019,Miércoles,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,7,6 a 11,"Ocosingo, Chiapas ",Selva Lacandona,No especificado,No,30/1/2019,Miércoles,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,16,12 a 17,"Chicomuselo, Chiapas ",Sierra Mariscal,No especificado,No,31/1/2019,Jueves,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,16,12 a 17,"Chicomuselo, Chiapas ",Sierra Mariscal,No especificado,No,31/1/2019,Jueves,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Violencia familiar,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,3,0 a 5,"Tuxtla Gutiérrez, Chiapas",Metropolitana,Barrio Niño de Atocha,No,4/2/2019,Lunes,6:00 AM,No localizada,No aplica,No aplica,No aplica,No,No aplica,Si,Mamá,Sin datos,Comisión Estatal de Busqueda de Personas,Redias,,
Mujer,12,12 a 17,No especificado,No especificado,No especificado,No,5/2/2019,Martes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Frontera Comalapa, Chiapas ",Sierra Mariscal,No especificado,No,7/2/2019,Jueves,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,13,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,Colonia San Juan de los Lagos,No,10/2/2019,Domingo,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,15/2/2019,Viernes,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Hombre,16,12 a 17,"Larrainzar, Chiapas ",Altos,No especificado,No,18/2/2019,Lunes,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Hombre,8,6 a 11,"San Cristóbal de Las Casas, Chiapas ",Altos,Col. 31 de marzo,No,18/2/2019,Lunes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,16,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,23/2/2019,Sábado,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Altamirano, Chiapas ",Selva Lacandona,No especificado,No,28/2/2019,Jueves,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,14,12 a 17,"Tapachula, Chiapas ",Soconusco,No especificado,No,28/2/2019,Jueves,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,17,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,1/3/2019,Viernes,No especificada,Localizada,No especificada,No especificada,No especificada,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Tapachula, Chiapas ",Soconusco,No especificado,No,3/3/2019,Domingo,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,13,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,4/3/2019,Lunes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,15,12 a 17,"Tuxtla Gutiérrez, Chiapas",Metropolitana,No especificado,No,5/3/2019,Martes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,16,12 a 17,"San Cristóbal de Las Casas, Chiapas ",Altos,No especificado,No,5/3/2019,Martes,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Hombre,10,6 a 11,"Comitán de Domínguez, Chiapas ",Meseta Comiteca,No especificado,No,6/3/2019,Miércoles,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,14,12 a 17,"San Fernando, Chiapas ",Mezcalapa,No especificado,No,7/3/2019,Jueves,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Hombre,15,12 a 17,"Tapachula, Chiapas ",Soconusco,No especificado,No,7/3/2019,Jueves,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
Mujer,13,12 a 17,"Tapachula, Chiapas ",Soconusco,No especificado,No,10/3/2019,Domingo,No especificada,No localizada,No aplica,No aplica,No aplica,No,No aplica,No,No aplica,Sin datos,¿Has visto a? Chiapas,José Encinos Melel Xojobal,,
